,Date and Time,Date,Time,Energy (MeV),Accumulated Dose,Pressure,Radium target mass (g),Extraction,Elapsed time (s),dt (s),Integrated Power (kWhr from Acc),Dose rate (Gy/s),power,electrons,reaction rate per gram,reactions per second,Radium-225,Actinium-225,Radium-225 Activity (mCi),Actinium-225 Activity (mCi)
0,2022-08-31 04:10:00,,,13.6,,,0.0411,NO,2388000.0,2388000.0,0.2866294253826044,,0.4321046613808106,198577509825.74017,2.5381999999999997e-06,20715.609796571407,8472133646797.805,3839140795667.3174,0.12303447623308078,0.08392221824369946
1,2022-08-31 06:10:00,,,13.6,,,0.0411,NO,2395200.0,7200.0,0.2763545144626901,,138.17725723134504,63500577771757.83,2.5381999999999997e-06,6624381.543161331,8487052809440.073,3849560301195.6885,0.12325113610154513,0.08414998483614385
2,2022-08-31 08:10:00,,,13.6,,,0.0411,NO,2402400.0,7200.0,0.2687674956899843,,134.38374784499214,61757237061117.71,2.5381999999999997e-06,6442516.205360539,8500604823461.218,3859976847892.7915,0.12344794189055969,0.08437768674961535
3,2022-08-31 10:10:00,,,13.6,,,0.0411,NO,2409600.0,7200.0,0.3484346776027781,,174.21733880138905,80063115257991.3,2.5381999999999997e-06,8352185.784975955,8527854029393.399,3870385163862.339,0.12384366177877233,0.08460520874238299
4,2022-08-31 12:10:00,,,13.6,,,0.0411,NO,2416800.0,7200.0,0.31820823495992856,,159.1041174799643,73117701047777.7,2.5381999999999997e-06,7627640.035658189,8549781086152.273,3880838287751.233,0.12416209206518322,0.08483371021993291
5,2022-08-31 14:10:00,,,13.6,,,0.0411,NO,2424000.0,7200.0,0.2854913059932852,,142.7456529966426,65600024355074.73,2.5381999999999997e-06,6843395.852721881,8565976754965.706,3891315368674.8076,0.1243972896804213,0.0850627353895275
6,2022-08-31 16:10:00,,,13.6,,,0.0411,NO,2431200.0,7200.0,0.321861764411563,,160.9308822057815,73957206896039.3,2.5381999999999997e-06,7715217.302538956,8588386881573.122,3901794093937.902,0.12472273522984349,0.08529179650378452
7,2022-08-31 18:10:00,,,13.6,,,0.0411,NO,2438400.0,7200.0,0.2533974513026002,,126.69872565130011,58225517302987.18,2.5381999999999997e-06,6074087.129557967,8598894172240.709,3912298496014.524,0.12487532477314041,0.08552141890382484
8,2022-08-31 20:10:00,,,13.6,,,0.0411,NO,2445600.0,7200.0,0.28756323790659305,,143.78161895329652,66076111651331.12,2.5381999999999997e-06,6893061.288989094,8615257427001.866,3922782376538.1094,0.12511295611406814,0.08575059271019686
9,2022-08-31 22:10:00,,,13.6,,,0.0411,NO,2452800.0,7200.0,0.28536523925880586,,142.68261962940292,65571056814982.96,2.5381999999999997e-06,6840373.958360157,8631178027993.271,3933268510148.901,0.125344159124544,0.08597981576823385
10,2022-09-01 00:10:00,,,13.6,,,0.0411,NO,2460000.0,7200.0,0.3276898260364661,,163.84491301823306,75296375467937.98,2.5381999999999997e-06,7854919.394742798,8654341763644.641,3943755171219.022,0.12568054877587403,0.0862090503563395
11,2022-09-01 02:10:00,,,13.6,,,0.0411,NO,2467200.0,7200.0,0.3041821255825956,,152.09106279129782,69894789885706.72,2.5381999999999997e-06,7291425.878772721,8673358731777.911,3954270378397.986,0.12595671801627575,0.08643890895197805
