,Date and Time,Date,Time,Energy (MeV),Accumulated Dose,Pressure,Radium target mass (g),Extraction,Elapsed time (s),dt (s),Integrated Power (kWhr from Acc),Dose rate (Gy/s),power,electrons,reaction rate per gram,reactions per second,Radium-225,Actinium-225,Radium-225 Activity (mCi),Actinium-225 Activity (mCi)
0,2022-08-03 12:50:00,8/3/2022,12:50,11.7,3.55,0.0,0.0339,NO,0.0,0.0,0.029174884944115707,inf,inf,inf,1.0442399999999995e-06,inf,0.0,0.0,0.0,0.0
1,2022-08-03 15:11:00,8/3/2022,15:11,12.2,2.56,5.2,0.0339,NO,8460.0,8460.0,0.021038790269559498,0.0003026004728132388,8.95267671045085,4586412249206.379,1.3611999999999994e-06,211638.52558770851,1790461926.472014,0.0,2.600154276626869e-05,0.0
2,2022-08-03 17:53:00,8/3/2022,17:53,13.2,6.61,6.0,0.0339,NO,18180.0,9720.0,0.05432281393819855,0.0006800411522633745,20.119560717851314,9526307158073.54,2.1673999999999994e-06,699944.084756451,8584567235.464256,9351194.840460872,0.00012466726535908932,2.044137102567776e-07
3,2022-08-03 19:53:00,8/3/2022,19:53,13.2,1.66,0.0,0.0339,NO,25380.0,7200.0,0.013642340565417488,0.00023055555555555554,6.821170282708744,3229720777797.7007,2.1673999999999994e-06,237303.28198777713,10259939506.28459,42508098.51970986,0.00014899744692010812,9.292115374152851e-07
4,2022-08-04 17:58:00,8/4/2022,17:58,13.2,5.53,6.2,0.0339,NO,104880.0,79500.0,0.04544707429322814,6.955974842767296e-05,2.0579807227122178,974422690678.1334,2.1673999999999994e-06,71595.57077839914,15513511393.051823,478050812.8979008,0.00022529115195219906,1.0450016497668483e-05
5,2022-08-04 20:01:00,8/4/2022,20:01,13.2,7.47,6.2,0.0339,NO,112260.0,7380.0,0.0613905325443787,0.0010121951219512195,29.946601241160344,14179261951306.982,2.1673999999999994e-06,1041819.2867756072,23140619727.503735,536715333.34511495,0.00033605395601359864,1.1732401528634066e-05
6,2022-08-04 22:04:00,8/4/2022,22:04,13.2,8.49,0.0,0.0339,NO,119640.00000000001,7380.000000000015,0.06977317554240631,0.0011504065040650385,34.03569538653959,16115386073172.154,2.1673999999999994e-06,1184075.7355722736,31787335762.798058,625274577.0127796,0.00046162376202589126,1.3668274311148901e-05
7,2022-08-05 00:06:00,8/5/2022,0:06,13.2,8.27,0.0,0.0339,NO,126960.00000000001,7320.0,0.06796515450361604,0.0011297814207650273,33.42548582145051,15826461089701.945,2.1673999999999994e-06,1162847.0128612977,40174349717.235664,746598841.3054404,0.000583422108471216,1.632037850011631e-05
8,2022-08-05 02:09:00,8/5/2022,2:09,13.2,11.74,0.0,0.0339,NO,134340.0,7379.999999999985,0.096482577251808,0.0015907859078590817,47.06467183015034,22284409010487.85,2.1673999999999994e-06,1637343.832228333,52098637958.14159,901451639.6913486,0.0007565896503603433,1.9705404221615248e-05
9,2022-08-05 04:09:00,8/5/2022,4:09,13.2,14.06,6.2,0.0339,NO,141540.0,7200.0,0.11554898093359632,0.0019527777777777779,57.77449046679816,27355345864961.254,2.1673999999999994e-06,2009930.2076796065,66368579970.57876,1097757602.8627057,0.0009638213719751503,2.39965810136721e-05
